
192.168.0.8	FP_target_default_IP

192.168.0.10	pavct_hirai_pc_HP_desktop
192.168.0.11	ubuntu22pavct Ubuntu_ja_22.04(220921)
192.168.0.12	ubuntu2004pavct Ubuntu_ja_20.04(221005_IP12)
192.168.0.13	ubuntu2004pavct Ubuntu_ja_20.04(230123yct)
192.168.0.14	ubuntu2004pavct_230301ny Ubuntu_ja_20.04(230301ny)
192.168.0.15	pavct_guest_pc_230301_ochi
192.168.0.16	Ubuntu_ja_20.04(230404_IP16)
192.168.0.17	Ubuntu_ja_20.04(221005-2_IP17)
192.168.0.18	Ubuntu_ja_20.04(230601_IP18)
192.168.1.20	Ubuntu_ja_22.04(202210)
192.168.1.21	RaspberryPI-OS 1st
192.168.1.22	RaspberryPI-OS 2nd
192.168.1.23	Ubuntu_ja_22.04(202211)
xx192.168.1.24	Ubuntu_ja_20.04(202301_IP24)
192.168.1.25	Ubuntu_ja_20.04(202303_IP25)
192.168.0.26	Ubuntu_22.04_PJ_Effi(202401)
192.168.0.27	PanaPjWindowsPC_hirai
192.168.0.28	Ubuntu_16_04_Effi(202401)
192.168.0.29	Ubuntu_2204_pavct_note
192.168.0.30	PavctNoteWindowsPC_hirai

192.168.0.86	pana_hirai_DELL_desktop
192.168.0.88	pana_aqua_Fedora16

192.168.0.99	セットアップ中の一時設定用

192.168.0.101	





